0,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
2,0,0.0,0.0,0.0
3,0,0.0,0.0,0.0
4,0,0.0,0.0,0.0
5,0,0.0,0.0,0.0
6,0,0.0,0.0,0.0
7,0,0.0,0.0,0.0
8,0,0.0,0.0,0.0
9,0,0.0,0.0,0.0
10,0,0.0,0.0,0.0
11,0,0.0,0.0,0.0
0,40,-8.16423,-7.9934154,0.239555
1,40,-6.9978614,-7.98631,0.239555
2,40,-5.8315835,-8.000078,0.239555
3,40,-3.0,-7.9872,0.239555
4,40,-1.1802948,-7.9993486,0.239555
5,40,-0.04693292,-7.986375,0.239555
6,40,0.99322355,-7.9872723,0.239555
7,40,1.9994277,-7.9871907,0.239555
8,40,2.9997652,-7.987217,0.239555
9,40,4.005909,-7.9873238,0.239555
10,40,5.045921,-7.986907,0.239555
11,40,6.1792297,-7.994208,0.239555
0,80,-8.874822,-7.8844237,0.239555
1,80,-6.953605,-7.570883,0.239555
2,80,-5.1118865,-7.9798026,0.239555
3,80,-3.0,-7.3855047,0.239555
4,80,-1.9218866,-7.9688168,0.239555
5,80,-0.17845437,-7.6766286,0.239555
6,80,0.96806973,-7.6786084,0.239555
7,80,1.9946529,-7.6828136,0.239555
8,80,2.9946332,-7.6829915,0.239555
9,80,4.0217743,-7.6761284,0.239555
10,80,5.1707153,-7.692397,0.239555
11,80,6.9138827,-7.899256,0.239555
0,120,-9.100004,-7.8237643,0.239555
1,120,-6.9595623,-7.214056,0.239555
2,120,-4.741516,-7.972452,0.239555
3,120,-2.9907188,-6.8916235,0.239555
4,120,-2.0605116,-7.9475155,0.239555
5,120,-0.19020349,-7.3306847,0.239555
6,120,0.9485064,-7.393222,0.239555
7,120,1.9889982,-7.3936453,0.239555
8,120,2.9969459,-7.392163,0.239555
9,120,4.0389333,-7.3956885,0.239555
10,120,5.1829753,-7.3452497,0.239555
11,120,7.2058945,-7.859576,0.239555
0,160,-9.100004,-7.845545,0.239555
1,160,-6.918839,-6.780705,0.239555
2,160,-4.4447513,-8.020371,0.239555
3,160,-2.9864564,-6.8154902,0.239555
4,160,-2.0854137,-7.949408,0.239555
5,160,-0.23544723,-7.0696063,0.239555
6,160,0.9167622,-7.1094885,0.239555
7,160,1.9830133,-7.1268992,0.239555
8,160,3.0010602,-7.136202,0.239555
9,160,4.0683074,-7.119391,0.239555
10,160,5.2191534,-7.0699916,0.239555
11,160,7.4123955,-7.862344,0.239555
0,200,-9.100004,-7.903159,0.239555
1,200,-6.869396,-6.460437,0.239555
2,200,-4.469274,-8.126457,0.239555
3,200,-2.9864912,-6.76769,0.239555
4,200,-2.0406241,-7.959287,0.239555
5,200,-0.2842194,-6.857038,0.239555
6,200,0.8730457,-6.9277573,0.239555
7,200,1.9645636,-6.89967,0.239555
8,200,3.0181715,-6.9034324,0.239555
9,200,4.115723,-6.8968787,0.239555
10,200,5.282534,-6.8073034,0.239555
11,200,7.4909396,-7.8554688,0.239555
